year	catch
1959	44585
1960	26562
1961	23175
1962	21439
1963	27362
1964	10261
1965	23466
1966	16974
1967	27188
1968	17660
1969	24750
1970	14419
1971	34370
1972	28933
1973	33297
1974	22286
1975	17871
1976	20513
1977	16516
1978	12043
1979	14067
1980	16030
1981	24280
1982	21547
1983	19747
1984	14761
1985	20557
1986	42805
1987	79031
1988	53266
1989	33649
1990	29105
1991	25815
1992	27283
1993	21308
1994	5741
1995	1989
1996	451
1997	630
1998	899
1999	2318
2000	3141
2001	1442
2002	1216
2003	1334
2004	637
2005	659
2006	496
2007	1664
2008	597
2009	1051
2010	4120
2011	3672
2012	4316
2013	6232
2014	5695
2015	9940
2016	8686
2017	11815
2018	11279
2019	13050
