year	index	name
1959	1.43E+00	CPUE
1960	1.60E+00	CPUE
1961	1.70E+00	CPUE
1962	1.63E+00	CPUE
1963	1.63E+00	CPUE
1964	1.81E+00	CPUE
1965	2.19E+00	CPUE
1966	1.78E+00	CPUE
1967	1.89E+00	CPUE
1968	9.22E-01	CPUE
1969	1.34E+00	CPUE
1970	1.37E+00	CPUE
1971	1.35E+00	CPUE
1972	1.39E+00	CPUE
1973	1.64E+00	CPUE
1974	1.29E+00	CPUE
1975	1.67E+00	CPUE
1976	1.29E+00	CPUE
1977	1.25E+00	CPUE
1978	1.11E+00	CPUE
1979	1.45E+00	CPUE
1980	1.76E+00	CPUE
1981	1.59E+00	CPUE
1982	1.66E+00	CPUE
1983	1.56E+00	CPUE
1984	1.05E+00	CPUE
1985	1.08E+00	CPUE
1986	1.41E+00	CPUE
1987	1.52E+00	CPUE
1988	1.21E+00	CPUE
1989	1.32E+00	CPUE
1990	8.25E-01	CPUE
1991	6.68E-01	CPUE
1992	9.12E-01	CPUE
1993	8.01E-01	CPUE
1994	8.02E-01	CPUE
1991	10.6	3LN_SPRG				
1992	10.1	3LN_SPRG				
1993	22.6	3LN_SPRG		
1994	4.2	3LN_SPRG
1995	5.9	3LN_SPRG
1996	22.8	3LN_SPRG
1997	14.9	3LN_SPRG
1998	59.4	3LN_SPRG
1999	61.5	3LN_SPRG
2000	87.8	3LN_SPRG
2001	41.6	3LN_SPRG
2002	31.0	3LN_SPRG
2003	27.7	3LN_SPRG
2004	79.6	3LN_SPRG
2005	66.5	3LN_SPRG
2007	218.8	3LN_SPRG
2008	144.0	3LN_SPRG
2009	183.4	3LN_SPRG
2010	165.3	3LN_SPRG
2011	173.7	3LN_SPRG
2012	322.0	3LN_SPRG
2013	271.5	3LN_SPRG
2014	271.7	3LN_SPRG
2015	480.6	3LN_SPRG
2016	654.2	3LN_SPRG
2018	106.0	3LN_SPRG
2019	136.5	3LN_SPRG
1991	37.9	3LN_FALL
1992	136.4	3LN_FALL
1993	19.2	3LN_FALL
1994	31.8	3LN_FALL
1995	90.7	3LN_FALL
1996	16	3LN_FALL
1997	70.7	3LN_FALL
1998	112.2	3LN_FALL
1999	72	3LN_FALL
2000	100.5	3LN_FALL
2001	132.6	3LN_FALL
2002	50.1	3LN_FALL
2003	71.9	3LN_FALL
2004	49.9	3LN_FALL
2005	58.6	3LN_FALL
2006	91.9	3LN_FALL
2007	124.8	3LN_FALL
2008	198.5	3LN_FALL
2009	246.7	3LN_FALL
2010	461.5	3LN_FALL
2011	562.3	3LN_FALL
2012	596	3LN_FALL
2013	288.8	3LN_FALL
2015	425.9	3LN_FALL
2016	215.2	3LN_FALL
2017	192	3LN_FALL
2018	191.4	3LN_FALL
2019	285.9	3LN_FALL
1984	215.9	3LN_RSSN
1985	94	3LN_RSSN
1986	63	3LN_RSSN
1987	70.3	3LN_RSSN
1988	44.9	3LN_RSSN
1989	12.3	3LN_RSSN
1990	8.4	3LN_RSSN
1991	18.7	3LN_RSSN
1985	90.2	3L_WNTR
1986	36.6	3L_WNTR
1990	18.2	3L_WNTR
1978	311.2	3L_SUMR
1979	227.8	3L_SUMR
1981	261.4	3L_SUMR
1984	277.7	3L_SUMR
1985	161.0	3L_SUMR
1990	92.8	3L_SUMR
1991	37.6	3L_SUMR
1993	20.8	3L_SUMR
1985	98.2	3L_FALL
1986	17.1	3L_FALL
1990	20.7	3L_FALL
1995	46.1	3N_SPNH
1996	6.6	3N_SPNH
1997	4.8	3N_SPNH
1998	22.5	3N_SPNH
1999	46.5	3N_SPNH
2000	68.9	3N_SPNH
2001	53.9	3N_SPNH
2002	7.6	3N_SPNH
2003	11	3N_SPNH
2004	27	3N_SPNH
2005	146.9	3N_SPNH
2006	87.8	3N_SPNH
2007	87.6	3N_SPNH
2008	68.1	3N_SPNH
2009	735.7	3N_SPNH
2010	359.5	3N_SPNH
2011	418.3	3N_SPNH
2012	265.2	3N_SPNH
2013	429.5	3N_SPNH
2014	178.1	3N_SPNH
2015	523.5	3N_SPNH
2016	117.3	3N_SPNH
2017	265.9	3N_SPNH
2018	292.8	3N_SPNH
2019	174.6	3N_SPNH
2006	70.1	3L_SPNH
2007	31.4	3L_SPNH
2008	75.6	3L_SPNH
2009	103.7	3L_SPNH
2010	266.8	3L_SPNH
2011	170.6	3L_SPNH
2012	481.5	3L_SPNH
2013	235.2	3L_SPNH
2014	216.4	3L_SPNH
2015	130.4	3L_SPNH
2016	98.8	3L_SPNH
2017	56.6	3L_SPNH
2018	40.3	3L_SPNH
2019	54	3L_SPNH


