1990	0.00	18.89	6.15	3.25	3.56	1.73	0.37	0.29	0.38	0.40	0.24	0.20	0.09
1991	0.00	14.87	129.66	4.36	2.19	2.73	1.33	0.37	0.31	0.53	0.37	0.45	0.33
1992	0.00	0.41	49.65	65.00	4.70	1.02	0.61	0.18	0.03	0.03	0.07	0.00	0.06
1993	0.00	1.30	0.72	3.63	3.59	0.30	0.27	0.18	0.10	0.02	0.02	0.06	0.04
1994	0.00	0.00	0.62	0.28	0.96	1.32	0.16	0.04	0.06	0.01	0.01	0.03	0.03
1995	0.00	1.15	1.02	0.46	0.20	0.94	1.64	0.11	0.05	0.06	0.05	0.00	0.02
1996	0.00	0.08	0.74	0.29	0.06	0.01	0.02	0.02	0.01	0.00	0.00	0.00	0.00
1997	0.00	0.03	0.10	0.40	0.33	0.14	0.06	0.28	0.28	0.05	0.04	0.00	0.00
1998	0.00	1.67	0.29	0.20	0.32	0.11	0.06	0.01	0.16	0.22	0.03	0.01	0.00
1999	0.39	4.44	5.01	2.52	0.13	0.37	0.30	0.08	0.04	0.12	0.55	0.04	0.00
2000	0.07	2.12	3.77	4.75	1.81	0.20	0.24	0.11	0.03	0.01	0.03	0.24	0.01
2001	0.06	0.34	2.64	4.70	2.55	0.98	0.07	0.16	0.06	0.02	0.02	0.00	0.05
2002	0.13	0.33	0.61	1.13	1.58	1.31	0.39	0.03	0.06	0.04	0.00	0.03	0.03
2003	0.16	0.96	0.27	0.26	0.35	0.78	0.83	0.14	0.01	0.02	0.05	0.00	0.00
2004	1.08	0.97	0.63	0.35	0.14	0.12	0.23	0.24	0.12	0.01	0.04	0.00	0.00
2005	0.27	4.24	2.42	1.24	0.23	0.07	0.06	0.27	0.38	0.10	0.00	0.04	0.01
2006	0.21	0.19	2.10	3.94	1.27	0.47	0.13	0.05	0.20	0.09	0.12	0.04	0.01
2007	0.15	13.95	15.61	3.70	3.28	0.44	0.18	0.05	0.05	0.14	0.23	0.06	0.00
2008	0.53	1.32	13.79	8.96	1.30	0.92	0.20	0.07	0.00	0.01	0.03	0.03	0.09
2009	0.08	3.25	8.10	16.37	5.11	1.07	0.65	0.12	0.06	0.00	0.00	0.03	0.05
2010	0.29	4.52	3.37	2.07	3.09	1.38	0.41	0.30	0.21	0.05	0.00	0.03	0.02
2011	0.13	0.66	3.10	3.55	0.73	2.99	0.82	0.32	0.24	0.03	0.03	0.01	0.00
2012	0.64	4.16	2.12	2.95	2.25	0.73	2.76	1.09	0.43	0.28	0.15	0.00	0.02
2013	0.16	5.19	5.98	2.07	2.25	2.50	0.86	2.26	0.80	0.25	0.15	0.10	0.00
2015	1.18	3.52	3.19	1.36	0.72	0.30	0.52	0.25	0.14	0.36	0.16	0.05	0.00
2016	0.26	2.29	5.95	1.98	0.39	0.34	0.08	0.29	0.15	0.03	0.37	0.18	0.02
