1984	0.00	0.16	53.39	41.57	21.35	7.17	5.04	1.51	0.72	1.36	1.15	0.61	0.25
1985	0.00	0.37	9.88	29.27	16.14	2.76	0.90	1.03	0.66	0.84	1.18	0.88	0.48
1986	0.00	0.38	12.77	3.63	17.87	11.53	2.11	0.82	0.58	0.42	0.61	1.02	0.51
1987	0.00	5.00	54.15	14.13	19.67	50.35	26.41	7.38	1.71	1.63	0.54	0.70	0.60
1988	0.00	0.18	26.45	12.91	1.02	0.47	1.10	1.13	0.66	0.67	0.75	0.35	0.44
1989	0.00	0.38	4.77	10.39	2.40	0.34	0.31	0.61	0.52	0.36	0.40	0.51	0.33
1990	0.00	0.90	7.25	6.77	3.80	1.46	0.25	0.41	0.52	0.61	0.46	0.34	0.34
1991	0.00	0.57	147.62	15.44	1.59	0.47	0.16	0.07	0.06	0.14	0.12	0.11	0.09
1992	0.00	0.00	10.07	9.66	0.24	0.11	0.09	0.03	0.03	0.08	0.11	0.13	0.14
1993	0.00	0.00	1.17	58.27	53.63	1.25	0.68	0.46	0.22	0.05	0.08	0.17	0.12
1994	0.00	0.00	0.22	0.91	1.63	1.05	0.07	0.12	0.07	0.07	0.02	0.04	0.05
1995	0.00	0.00	0.76	0.20	0.04	0.15	0.10	0.01	0.02	0.05	0.01	0.01	0.02
1996	0.00	0.10	1.35	1.65	0.44	0.24	0.57	0.56	0.05	0.04	0.03	0.02	0.00
1997	0.00	0.06	0.24	1.67	0.58	0.16	0.03	0.09	0.07	0.01	0.02	0.03	0.02
1998	0.00	1.71	0.16	0.51	1.23	0.52	0.17	0.13	1.35	1.61	0.15	0.03	0.01
1999	0.00	4.69	4.71	4.55	0.38	0.70	0.30	0.11	0.12	0.42	0.84	0.07	0.03
2000	0.00	2.15	6.46	4.58	0.69	0.10	0.20	0.29	0.07	0.06	0.57	1.10	0.13
2001	0.00	0.15	1.88	2.91	1.01	0.26	0.01	0.06	0.07	0.01	0.01	0.16	0.40
2002	0.00	0.23	0.66	0.98	0.40	0.23	0.10	0.01	0.06	0.01	0.02	0.01	0.03
2003	0.00	0.30	0.58	0.47	0.51	1.03	0.82	0.12	0.01	0.05	0.02	0.02	0.01
2004	0.00	1.18	1.12	0.50	0.19	0.13	0.18	0.18	0.07	0.02	0.08	0.02	0.03
2005	0.00	2.64	2.05	2.76	0.48	0.20	0.07	0.33	0.26	0.13	0.02	0.07	0.02
2007	0.00	14.87	6.12	3.91	1.95	0.46	0.11	0.05	0.09	0.14	0.13	0.11	0.01
2008	0.00	0.36	12.89	9.63	1.37	1.03	0.21	0.07	0.01	0.02	0.18	0.14	0.08
2009	0.00	0.65	7.02	59.57	8.28	3.94	1.94	0.61	0.14	0.02	0.07	0.08	0.16
2010	0.00	4.30	4.21	3.09	5.08	1.57	0.64	0.36	0.06	0.01	0.02	0.01	0.04
2011	0.00	0.04	3.92	8.01	1.72	1.65	0.69	0.25	0.16	0.01	0.02	0.01	0.00
2012	0.00	1.13	1.04	3.80	3.01	0.70	2.56	0.94	0.34	0.32	0.06	0.05	0.03
2013	0.00	1.12	3.43	1.48	2.11	1.99	0.46	2.13	1.04	0.37	0.19	0.04	0.00
2014	0.00	1.21	1.40	2.16	0.61	2.59	2.78	0.57	3.90	1.46	0.23	0.05	0.00
2015	0.00	1.29	3.58	1.84	0.70	0.27	0.55	0.40	0.11	0.82	0.19	0.17	0.02
2016	0.00	1.94	6.20	1.38	0.51	0.28	0.14	0.23	0.20	0.03	0.16	0.08	0.00
