1959	72220
1960	65509
1961	73881
1962	72532
1963	74393
1964	81886
1965	125043
1966	107524
1967	67006
1968	58904
1969	73065
1970	69149
1971	66962
1972	63752
1973	58130
1974	59947
1975	31041
1976	9140
1977	12065
1978	15319
1979	23502
1980	38344
1981	71179
1982	88399
1983	87810
1984	88036
1985	81996
1986	80019
1987	79397
1988	58643
1989	49104
1990	40088
1991	30523
1992	14503
1993	7309
1994	4905
1995	5998
1996	8076
1997	8496
1998	8598
1999	8576
2000	7577
2001	7906
2002	7780
2003	9646
2004	7447
2005	8110
2006	7586
2007	6831
2008	8224
2009	8956
2010	9047
2011	11594
2012	17749
2013	21610
2014	23304
2015	24349
2016	23204
2017	25101
