year	catch
1959	4.46E+04
1960	2.66E+04
1961	2.32E+04
1962	2.14E+04
1963	2.74E+04
1964	1.03E+04
1965	2.35E+04
1966	1.70E+04
1967	2.72E+04
1968	1.77E+04
1969	2.48E+04
1970	1.44E+04
1971	3.44E+04
1972	2.89E+04
1973	3.33E+04
1974	2.23E+04
1975	1.79E+04
1976	2.05E+04
1977	1.65E+04
1978	1.20E+04
1979	1.41E+04
1980	1.60E+04
1981	2.43E+04
1982	2.15E+04
1983	1.97E+04
1984	1.48E+04
1985	2.06E+04
1986	4.28E+04
1987	7.90E+04
1988	5.33E+04
1989	3.36E+04
1990	2.91E+04
1991	2.58E+04
1992	2.73E+04
1993	2.13E+04
1994	5.74E+03
1995	1.99E+03
1996	4.51E+02
1997	6.30E+02
1998	8.99E+02
1999	2.32E+03
2000	3.14E+03
2001	1.44E+03
2002	1.22E+03
2003	1.33E+03
2004	6.37E+02
2005	6.59E+02
2006	4.96E+02
2007	1.66E+03
2008	5.97E+02
2009	1.05E+03
2010	4.12E+03
2011	3.67E+03
2012	4.32E+03
2013	6.00E+03
