year	index	name
1959	1.43E+00	CPUE
1960	1.60E+00	CPUE
1961	1.70E+00	CPUE
1962	1.63E+00	CPUE
1963	1.63E+00	CPUE
1964	1.81E+00	CPUE
1965	2.19E+00	CPUE
1966	1.78E+00	CPUE
1967	1.89E+00	CPUE
1968	9.22E-01	CPUE
1969	1.34E+00	CPUE
1970	1.37E+00	CPUE
1971	1.35E+00	CPUE
1972	1.39E+00	CPUE
1973	1.64E+00	CPUE
1974	1.29E+00	CPUE
1975	1.67E+00	CPUE
1976	1.29E+00	CPUE
1977	1.25E+00	CPUE
1978	1.11E+00	CPUE
1979	1.45E+00	CPUE
1980	1.76E+00	CPUE
1981	1.59E+00	CPUE
1982	1.66E+00	CPUE
1983	1.56E+00	CPUE
1984	1.05E+00	CPUE
1985	1.08E+00	CPUE
1986	1.41E+00	CPUE
1987	1.52E+00	CPUE
1988	1.21E+00	CPUE
1989	1.32E+00	CPUE
1990	8.25E-01	CPUE
1991	6.68E-01	CPUE
1992	9.12E-01	CPUE
1993	8.01E-01	CPUE
1994	8.02E-01	CPUE
1991	1.06E+04	3LN_SPRG
1992	1.01E+04	3LN_SPRG
1993	2.26E+04	3LN_SPRG
1994	4.16E+03	3LN_SPRG
1995	5.86E+03	3LN_SPRG
1996	2.28E+04	3LN_SPRG
1997	1.49E+04	3LN_SPRG
1998	5.94E+04	3LN_SPRG
1999	6.15E+04	3LN_SPRG
2000	8.78E+04	3LN_SPRG
2001	4.16E+04	3LN_SPRG
2002	3.10E+04	3LN_SPRG
2003	2.77E+04	3LN_SPRG
2004	7.96E+04	3LN_SPRG
2005	6.65E+04	3LN_SPRG
2007	2.19E+05	3LN_SPRG
2008	1.44E+05	3LN_SPRG
2009	1.83E+05	3LN_SPRG
2010	1.65E+05	3LN_SPRG
2011	1.74E+05	3LN_SPRG
2012	3.22E+05	3LN_SPRG
2013	2.72E+05	3LN_SPRG
1991	3.79E+04	3LN_FALL
1992	1.36E+05	3LN_FALL
1993	1.92E+04	3LN_FALL
1994	3.18E+04	3LN_FALL
1995	9.07E+04	3LN_FALL
1996	1.60E+04	3LN_FALL
1997	7.07E+04	3LN_FALL
1998	1.12E+05	3LN_FALL
1999	7.20E+04	3LN_FALL
2000	1.00E+05	3LN_FALL
2001	1.33E+05	3LN_FALL
2002	5.01E+04	3LN_FALL
2003	7.19E+04	3LN_FALL
2004	4.99E+04	3LN_FALL
2005	5.86E+04	3LN_FALL
2006	9.19E+04	3LN_FALL
2007	1.25E+05	3LN_FALL
2008	1.98E+05	3LN_FALL
2009	2.47E+05	3LN_FALL
2010	4.61E+05	3LN_FALL
2011	5.62E+05	3LN_FALL
2012	5.96E+05	3LN_FALL
2013	2.89E+05	3LN_FALL
1984	2.16E+05	3LN_RSSN
1985	9.40E+04	3LN_RSSN
1986	6.30E+04	3LN_RSSN
1987	7.03E+04	3LN_RSSN
1988	4.49E+04	3LN_RSSN
1989	1.23E+04	3LN_RSSN
1990	8.37E+03	3LN_RSSN
1991	1.87E+04	3LN_RSSN
1985	9.02E+04	3L_WNTR
1986	3.66E+04	3L_WNTR
1990	1.82E+04	3L_WNTR
1978	3.11E+05	3L_SUMR
1979	2.28E+05	3L_SUMR
1981	2.61E+05	3L_SUMR
1984	2.78E+05	3L_SUMR
1985	1.61E+05	3L_SUMR
1990	9.28E+04	3L_SUMR
1991	3.76E+04	3L_SUMR
1993	2.08E+04	3L_SUMR
1985	9.82E+04	3L_FALL
1986	1.71E+04	3L_FALL
1990	2.07E+04	3L_FALL
1995	4.61E+04	3N_SPNH
1996	6.56E+03	3N_SPNH
1997	4.75E+03	3N_SPNH
1998	2.25E+04	3N_SPNH
1999	4.65E+04	3N_SPNH
2000	6.89E+04	3N_SPNH
2001	5.39E+04	3N_SPNH
2002	7.62E+03	3N_SPNH
2003	1.10E+04	3N_SPNH
2004	2.70E+04	3N_SPNH
2005	1.47E+05	3N_SPNH
2006	8.78E+04	3N_SPNH
2007	8.76E+04	3N_SPNH
2008	6.81E+04	3N_SPNH
2009	7.36E+05	3N_SPNH
2010	3.60E+05	3N_SPNH
2011	4.18E+05	3N_SPNH
2012	2.65E+05	3N_SPNH
2013	4.30E+05	3N_SPNH
