year ssb rec
 1958 111.645  95.448
 1959 115.056 107.942
 1960 105.841  93.243
 1961 123.177 140.734
 1962 133.909 156.491
 1963 140.196 150.506
 1964 138.160 139.156
 1965 132.892 141.463
 1966  98.150 116.219
 1967  91.689  83.275
 1968  88.965 135.737
 1969  74.618 157.194
 1970 126.280 171.631
 1971  96.139 143.911
 1972  97.660 146.639
 1973  76.205 172.648
 1974  54.901 182.548
 1975  61.835 129.177
 1976  39.066 107.214
 1977  48.346 152.975
 1978  86.030 138.442
 1979 104.321 185.239
 1980 110.007 248.869
 1981 119.884 167.054
 1982 118.879 185.870
 1983 148.151  77.411
 1984 152.572  65.527
 1985 153.810  75.485
 1986 151.616 101.426
 1987 129.285 105.022
 1988 105.920  56.510
 1989  94.287  35.598
 1990  71.393  40.541
 1991  53.441  24.668
 1992  44.214  63.306
 1993  23.795  35.386
 1994  24.117  38.038
 1995  16.029  19.995
 1996  13.295  13.320
 1997  13.022  22.069
 1998  11.421  80.312
 1999  10.243  32.267
 2000  10.192  23.222
 2001   7.395  21.063
 2002   9.302  30.997
 2003  11.403  47.970
 2004  11.257 117.740
 2005  12.552  31.233
 2006  13.730  40.914
 2007  19.461  19.137
 2008  45.923  29.026
