"stratum" "Nh" "catch"
1 80 6
1 80 5
1 80 2
1 80 6
1 80 1
2 96 9
2 96 5
2 96 10
2 96 8
2 96 4
2 96 3
2 96 4
3 104 21
3 104 13
3 104 22
3 104 11
3 104 12
3 104 18
3 104 12
4 105 9
4 105 11
4 105 7
4 105 8
4 105 8
4 105 14
4 105 14
4 105 13
5 84 20
5 84 21
5 84 16
5 84 25
5 84 24
5 84 24
5 84 23
6 81 42
6 81 50
6 81 46
6 81 44
6 81 61
6 81 43
7 180 50
7 180 39
7 180 39
7 180 36
7 180 45
7 180 44
7 180 37
7 180 32
7 180 40
7 180 42
7 180 35
7 180 31
7 180 38
8 36 99
8 36 97
8 36 92
9 108 75
9 108 98
9 108 85
9 108 77
9 108 70
9 108 72
9 108 90
9 108 78
9 108 67
9 108 73
9 108 62
9 108 85
9 108 86
