"year" "stratum" "catch" "Nh"
1997 293 3 21872
1997 293 7 21872
1997 294 12 18571
1997 294 7 18571
1997 295 3 28750
1997 295 9 28750
1997 296 85 9767
1997 296 44 9767
1997 297 25 20909
1997 297 14 20909
1997 298 5 23523
1997 298 4 23523
1997 299 31 29163
1997 299 13 29163
1997 300 34 29851
1997 300 5 29851
1997 306 6 49935
1997 306 11 49935
1997 306 32 49935
1997 307 6 54337
1997 307 19 54337
1997 307 37 54337
1997 308 3 15407
1997 308 31 15407
1997 309 2 40718
1997 309 11 40718
1997 310 102 23385
1997 310 16 23385
1997 311 10 43607
1997 311 7 43607
1997 312 1 37417
1997 312 0 37417
1997 313 0 22698
1997 313 0 22698
1997 314 0 133985
1997 314 1 133985
1997 314 0 133985
1997 314 0 133985
1997 314 1 133985
1997 314 2 133985
1997 314 0 133985
1997 315 1 113763
1997 315 0 113763
1997 315 1 113763
1997 315 0 113763
1997 315 0 113763
1997 315 0 113763
1997 316 2 25999
1997 316 3 25999
1997 317 4 26549
1997 317 30 26549
1997 318 187 17745
1997 318 25 17745
1997 319 1 135360
1997 319 27 135360
1997 319 18 135360
1997 319 47 135360
1997 319 17 135360
1997 319 2 135360
1997 319 0 135360
1997 319 0 135360
1997 320 0 181581
1997 320 6 181581
1997 320 0 181581
1997 320 0 181581
1997 320 1 181581
1997 320 1 181581
1997 320 0 181581
1997 320 0 181581
1997 320 7 181581
1997 321 0 163560
1997 321 0 163560
1997 321 0 163560
1997 321 0 163560
1997 321 0 163560
1997 321 0 163560
1997 321 1 163560
1997 321 0 163560
1997 321 0 163560
1997 322 3 215558
1997 322 1 215558
1997 322 3 215558
1997 322 0 215558
1997 322 0 215558
1997 322 1 215558
1997 322 0 215558
1997 322 2 215558
1997 322 2 215558
1997 322 0 215558
1997 322 0 215558
1997 323 1 95743
1997 323 0 95743
1997 323 0 95743
1997 323 0 95743
1997 324 4 67955
1997 324 1 67955
1997 324 7 67955
1997 325 0 129858
1997 325 0 129858
1997 325 0 129858
1997 325 1 129858
1997 325 0 129858
1997 325 4 129858
1997 326 0 22835
1997 326 0 22835
1997 705 5 26824
1997 705 13 26824
1997 706 6 65479
1997 706 1 65479
1997 706 1 65479
1997 707 0 10180
1997 707 69 10180
1997 708 35 17333
1997 708 10 17333
1997 709 1 20221
1997 711 3 81574
1997 711 0 81574
1997 711 0 81574
1997 711 0 81574
1997 711 0 81574
1997 712 0 100557
1997 712 2 100557
1997 712 1 100557
1997 712 0 100557
1997 712 0 100557
1997 713 16 117064
1997 713 3 117064
1997 713 11 117064
1997 713 6 117064
1997 713 1 117064
1997 713 9 117064
1997 714 17 147741
1997 714 0 147741
1997 714 4 147741
1997 714 8 147741
1997 714 6 147741
1997 714 15 147741
1997 714 81 147741
1997 715 3 17608
1997 715 56 17608
1997 716 0 74145
1997 716 1 74145
1997 716 3 74145
1997 716 1 74145
1997 779 0 58051
1997 779 0 58051
1997 779 0 58051
1997 780 0 55437
1997 780 1 55437
1997 780 1 55437
1997 781 6 61352
1997 781 3 61352
1997 781 2 61352
1997 781 2 61352
1997 782 1 25174
1997 782 4 25174
1997 783 2 31501
1997 783 1 31501
1998 293 3 21872
1998 293 24 21872
1998 294 49 18571
1998 294 48 18571
1998 295 1 28750
1998 295 31 28750
1998 296 0 9767
1998 296 1 9767
1998 297 10 20909
1998 297 10 20909
1998 298 112 23523
1998 298 46 23523
1998 299 2 29163
1998 299 2 29163
1998 300 106 29851
1998 300 0 29851
1998 306 1 49935
1998 306 0 49935
1998 306 45 49935
1998 307 7 54337
1998 307 1276 54337
1998 307 13 54337
1998 308 516 15407
1998 308 26 15407
1998 309 5 40718
1998 309 583 40718
1998 310 8 23385
1998 310 1 23385
1998 311 43 43607
1998 311 63 43607
1998 311 8 43607
1998 312 0 37417
1998 312 5 37417
1998 313 22 22698
1998 313 18 22698
1998 314 0 133985
1998 314 0 133985
1998 314 0 133985
1998 314 0 133985
1998 314 0 133985
1998 314 0 133985
1998 314 3 133985
1998 315 1 113763
1998 315 16 113763
1998 315 2 113763
1998 315 75 113763
1998 315 19 113763
1998 315 143 113763
1998 315 96 113763
1998 316 3 25999
1998 316 5 25999
1998 317 6 26549
1998 317 7 26549
1998 318 2 17745
1998 318 4 17745
1998 319 9 135360
1998 319 4 135360
1998 319 388 135360
1998 319 378 135360
1998 319 141 135360
1998 319 1 135360
1998 319 0 135360
1998 319 1 135360
1998 320 2 181581
1998 320 0 181581
1998 320 5 181581
1998 320 2 181581
1998 320 4 181581
1998 320 1 181581
1998 320 18 181581
1998 320 0 181581
1998 320 0 181581
1998 320 3 181581
1998 320 43 181581
1998 321 0 163560
1998 321 0 163560
1998 321 0 163560
1998 321 0 163560
1998 321 0 163560
1998 321 0 163560
1998 321 1 163560
1998 321 1 163560
1998 321 1 163560
1998 321 0 163560
1998 322 1 215558
1998 322 0 215558
1998 322 0 215558
1998 322 3 215558
1998 322 3 215558
1998 322 0 215558
1998 322 1 215558
1998 322 0 215558
1998 322 0 215558
1998 322 0 215558
1998 322 5 215558
1998 322 3 215558
1998 322 0 215558
1998 323 0 95743
1998 323 0 95743
1998 323 0 95743
1998 323 0 95743
1998 323 0 95743
1998 323 2 95743
1998 324 4 67955
1998 324 1 67955
1998 324 4 67955
1998 324 0 67955
1998 325 0 129858
1998 325 0 129858
1998 325 0 129858
1998 325 0 129858
1998 325 0 129858
1998 325 0 129858
1998 325 1 129858
1998 325 0 129858
1998 326 0 22835
1998 326 1 22835
1998 705 16 26824
1998 705 12 26824
1998 706 11 65479
1998 706 5 65479
1998 706 4 65479
1998 706 0 65479
1998 707 13 10180
1998 707 7 10180
1998 708 166 17333
1998 708 3 17333
1998 708 22 17333
1998 709 0 20221
1998 709 0 20221
1998 711 0 81574
1998 711 0 81574
1998 711 1 81574
1998 711 0 81574
1998 711 0 81574
1998 712 7 100557
1998 712 1 100557
1998 712 3 100557
1998 712 0 100557
1998 712 0 100557
1998 712 1 100557
1998 713 0 117064
1998 713 1 117064
1998 713 0 117064
1998 713 1 117064
1998 713 2 117064
1998 713 0 117064
1998 713 0 117064
1998 714 3 147741
1998 714 4 147741
1998 714 4 147741
1998 714 7 147741
1998 714 0 147741
1998 714 2 147741
1998 714 2 147741
1998 714 1 147741
1998 714 6 147741
1998 715 566 17608
1998 715 101 17608
1998 716 0 74145
1998 716 1 74145
1998 716 106 74145
1998 716 60 74145
1998 779 0 58051
1998 779 2 58051
1998 779 0 58051
1998 780 0 55437
1998 780 0 55437
1998 780 1 55437
1998 781 0 61352
1998 781 2 61352
1998 781 5 61352
1998 781 11 61352
1998 782 0 25174
1998 782 3 25174
1998 783 1 31501
1998 783 0 31501
1999 293 20 21872
1999 293 35 21872
1999 294 16 18571
1999 294 23 18571
1999 295 65 28750
1999 295 3 28750
1999 296 59 9767
1999 296 18 9767
1999 297 133 20909
1999 297 48 20909
1999 298 3 23523
1999 298 1 23523
1999 299 0 29163
1999 299 0 29163
1999 300 8 29851
1999 300 35 29851
1999 306 4 49935
1999 306 27 49935
1999 306 12 49935
1999 307 260 54337
1999 307 44 54337
1999 307 21 54337
1999 308 241 15407
1999 308 110 15407
1999 309 7 40718
1999 309 4 40718
1999 310 5 23385
1999 310 6 23385
1999 311 14 43607
1999 311 38 43607
1999 311 97 43607
1999 312 11 37417
1999 312 14 37417
1999 313 7 22698
1999 313 1 22698
1999 314 22 133985
1999 314 12 133985
1999 314 7 133985
1999 314 14 133985
1999 314 18 133985
1999 314 28 133985
1999 314 0 133985
1999 314 3 133985
1999 315 28 113763
1999 315 17 113763
1999 315 12 113763
1999 315 6 113763
1999 315 79 113763
1999 315 0 113763
1999 315 6 113763
1999 316 2 25999
1999 316 0 25999
1999 317 1 26549
1999 317 22 26549
1999 318 0 17745
1999 318 0 17745
1999 319 163 135360
1999 319 56 135360
1999 319 0 135360
1999 319 13 135360
1999 319 9 135360
1999 319 95 135360
1999 319 62 135360
1999 319 302 135360
1999 320 18 181581
1999 320 52 181581
1999 320 9 181581
1999 320 6 181581
1999 320 18 181581
1999 320 16 181581
1999 320 9 181581
1999 320 29 181581
1999 321 22 163560
1999 321 2 163560
1999 321 2 163560
1999 321 1 163560
1999 321 0 163560
1999 321 1 163560
1999 321 0 163560
1999 321 13 163560
1999 321 8 163560
1999 322 5 215558
1999 322 3 215558
1999 322 3 215558
1999 322 0 215558
1999 322 0 215558
1999 322 7 215558
1999 322 2 215558
1999 322 0 215558
1999 322 17 215558
1999 322 0 215558
1999 322 0 215558
1999 322 3 215558
1999 323 7 95743
1999 323 1 95743
1999 323 0 95743
1999 323 1 95743
1999 323 0 95743
1999 323 1 95743
1999 324 1 67955
1999 324 12 67955
1999 324 6 67955
1999 324 2 67955
1999 325 1 129858
1999 325 0 129858
1999 325 3 129858
1999 325 2 129858
1999 325 1 129858
1999 325 10 129858
1999 325 18 129858
1999 325 12 129858
1999 326 1 22835
1999 326 4 22835
1999 705 2 26824
1999 705 0 26824
1999 706 1 65479
1999 706 2 65479
1999 706 0 65479
1999 706 3 65479
1999 707 0 10180
1999 707 2 10180
1999 708 5 17333
1999 708 104 17333
1999 709 0 20221
1999 709 0 20221
1999 710 0 21460
1999 710 0 21460
1999 711 0 81574
1999 711 0 81574
1999 711 0 81574
1999 711 0 81574
1999 711 0 81574
1999 712 0 100557
1999 712 0 100557
1999 712 0 100557
1999 712 0 100557
1999 712 2 100557
1999 712 1 100557
1999 713 2 117064
1999 713 1 117064
1999 713 0 117064
1999 713 1 117064
1999 713 0 117064
1999 713 1 117064
1999 713 0 117064
1999 714 1 147741
1999 714 1 147741
1999 714 1 147741
1999 714 1 147741
1999 714 1 147741
1999 714 1 147741
1999 714 2 147741
1999 714 1 147741
1999 714 2 147741
1999 715 11 17608
1999 715 44 17608
1999 716 10 74145
1999 716 1 74145
1999 716 18 74145
1999 716 102 74145
1999 779 0 58051
1999 779 0 58051
1999 779 0 58051
1999 779 0 58051
1999 780 0 55437
1999 780 0 55437
1999 780 0 55437
