"age" "weights" "sel" "M" "mat"
5 0.081125 0.292937483812182 0.2 0.03289
6 0.13226875 0.366251159440031 0.2 0.076247475
7 0.22525 0.478838783999534 0.2 0.163824
8 0.35395625 0.668596508502257 0.2 0.31363325
9 0.524125 0.773165435577658 0.2 0.5307475
10 0.65054375 0.871625799271739 0.2 0.73205
11 1.0620375 1 0.2 0.892075
12 1.1596925 0.924093772121456 0.2 0.965865
13 1.6744825 0.980858864511687 0.2 0.9875125
14 1.4639075 0.704355128494039 0.2 0.9987225
15 1.823545 0.704355128494039 0.2 0.999575
16 2.037468125 0.796523040499922 0.2 1
17 2.24634975 0.796523040499922 0.2 1
18 2.455231375 0.796523040499922 0.2 1
19 2.664113 0.796523040499922 0.2 1
20 2.872994625 0.796523040499922 0.2 1
