year	ssb	rec
1959	72220	130098
1960	65509	94606
1961	73881	135041
1962	72532	195489
1963	74393	252970
1964	81886	221171
1965	125043	121541
1966	107524	154111
1967	67006	96818
1968	58904	101649
1969	73065	74518
1970	69149	42190
1971	66963	44128
1972	63752	27766
1973	58130	32974
1974	59947	54579
1975	31041	50096
1976	9140	20922
1977	12066	23735
1978	15322	33088
1979	23507	26430
1980	38357	42606
1981	71212	49846
1982	88456	39821
1983	87884	10735
1984	88123	7838
1985	82100	15623
1986	80165	15538
1987	79600	6226
1988	58857	6882
1989	49407	24803
1990	40465	7917
1991	30968	807
1992	14918	509
1993	7643	983
1994	5203	1361
1995	6225	469
1996	8333	2832
1997	8750	6032
1998	8838	5598
1999	8805	2175
2000	7775	992
2001	8108	901
2002	7928	1726
2003	9797	4717
2004	7618	4436
2005	8312	8185
2006	7778	13524
2007	6994	2132
2008	8412	4654
2009	9147	3807
2010	9210	1434
2011	11742	2023
2012	17901	1423
2013	21551	2222
2014	22738	3227
2015	23299	1962
2016	21990	2414
