Year	Fbar_4-6	SSB	landings
1959	0.339	72220	64370
1960	0.339	65509	79677
1961	0.476	73881	72724
1962	0.1	72532	34984
1963	0.21	74393	69742
1964	0.346	81886	64461
1965	0.29	125043	99187
1966	0.452	107524	108919
1967	0.789	67006	226784
1968	0.95	58904	165511
1969	0.562	73065	117705
1970	0.409	69149	111561
1971	0.701	66963	126296
1972	0.693	63752	103374
1973	0.778	58131	80429
1974	1.077	59948	73389
1975	0.864	31042	44174
1976	0.657	9141	24283
1977	0.359	12068	17604
1978	0.206	15326	14718
1979	0.366	23514	27851
1980	0.168	38374	19991
1981	0.132	71256	24344
1982	0.142	88531	31605
1983	0.119	87980	28819
1984	0.138	88236	27103
1985	0.295	82237	36899
1986	0.321	80355	50645
1987	0.198	79867	41619
1988	0.411	59137	43150
1989	0.487	49801	33215
1990	1.034	40954	28846
1991	0.437	31551	29454
1992	0.682	15475	12752
1993	0.794	8098	10646
1994	0.588	5628	2702
1995	0.108	6631	172
1996	0.017	8822	174
1997	0.037	9246	383
1998	0.041	9322	547
1999	0.143	9265	919
2000	0.309	8178	1050
2001	0.125	8522	1310
2002	0.189	8238	2194
2003	0.824	10116	4870
2004	0.163	7982	934
2005	0.011	8740	724
2006	0.181	8193	600
2007	0.114	7352	848
2008	0.063	8829	923
2009	0.054	9585	1083
2010	0.052	9612	946
2011	0.029	12173	867
2012	0.05	18499	734
2013	0.096	22195	1113
2014	0.148	23204	734
2015	0.121	23432	586
2016	0.142	21727	666
2017	0.102	19784	649
2018	0.04	14564	400
2019	0.066	7023	527
