"YC" "Year" "Age" "index" "log.index"
1992 1996 4 0.06 -2.81341071676004
1992 1997 5 0.14 -1.96611285637283
1993 1996 3 0.29 -1.23787435600162
1993 1997 4 0.33 -1.10866262452161
1993 1998 5 0.11 -2.20727491318972
1994 1996 2 0.74 -0.301105092783922
1994 1998 4 0.32 -1.13943428318836
1994 1997 3 0.4 -0.916290731874155
1994 1999 5 0.369 -0.99695863494161
1995 1997 2 0.1 -2.30258509299405
1995 2000 5 0.2 -1.6094379124341
1995 1996 1 0.08 -2.52572864430826
1995 1998 3 0.2 -1.6094379124341
1995 1999 4 0.13 -2.04022082852655
1996 1997 1 0.03 -3.50655789731998
1996 2001 5 0.98 -0.0202027073175195
1996 2000 4 1.81 0.593326845277734
1996 1998 2 0.29 -1.23787435600162
1996 1999 3 2.521 0.924655648205783
1997 2001 4 2.55 0.936093359170335
1997 1998 1 1.67 0.512823626428664
1997 1999 2 5.012 1.61183503703382
1997 2000 3 4.75 1.55814461804655
1997 2002 5 1.31 0.27002713721306
1998 2003 5 0.78 -0.2484613592985
1998 2000 2 3.77 1.32707500145992
1998 2002 4 1.58 0.457424847038875
1998 1999 1 4.444 1.49155487177738
1998 2001 3 4.7 1.54756250871601
1999 1999 0 0.389 -0.944175935363691
1999 2000 1 2.12 0.751416088683921
1999 2001 2 2.64 0.970778917158225
1999 2002 3 1.13 0.122217632724249
1999 2004 5 0.12 -2.12026353620009
1999 2003 4 0.35 -1.04982212449868
2000 2005 5 0.07 -2.65926003693278
2000 2001 1 0.34 -1.07880966137193
2000 2002 2 0.61 -0.49429632181478
2000 2004 4 0.14 -1.96611285637283
2000 2000 0 0.07 -2.65926003693278
2000 2003 3 0.26 -1.34707364796661
2001 2006 5 0.47 -0.755022584278033
2001 2003 2 0.27 -1.30933331998376
2001 2004 3 0.35 -1.04982212449868
2001 2002 1 0.33 -1.10866262452161
2001 2001 0 0.06 -2.81341071676004
2001 2005 4 0.23 -1.46967597005894
2002 2006 4 1.27 0.2390169004705
2002 2007 5 0.44 -0.82098055206983
2002 2003 1 0.96 -0.0408219945202552
2002 2004 2 0.63 -0.462035459596559
2002 2005 3 1.24 0.215111379616945
2002 2002 0 0.13 -2.04022082852655
2003 2005 2 2.42 0.883767540168595
2003 2006 3 3.94 1.37118072330984
2003 2003 0 0.16 -1.83258146374831
2003 2007 4 3.28 1.18784342239605
2003 2004 1 0.97 -0.0304592074847086
2003 2008 5 0.92 -0.083381608939051
2004 2008 4 1.3 0.262364264467491
2004 2005 1 4.24 1.44456326924387
2004 2006 2 2.1 0.741937344729377
2004 2009 5 1.07 0.0676586484738149
2004 2004 0 1.08 0.0769610411361284
2004 2007 3 3.7 1.30833281965018
2005 2006 1 0.19 -1.66073120682165
2005 2005 0 0.27 -1.30933331998376
2005 2007 2 15.61 2.74791173452734
2005 2008 3 8.96 2.19277022698684
2005 2010 5 1.38 0.322083499169113
2005 2009 4 5.11 1.63119940421561
2006 2007 1 13.95 2.63547950826737
2006 2006 0 0.21 -1.56064774826467
2006 2008 2 13.79 2.62394369180521
2006 2010 4 3.09 1.12817109090965
2006 2009 3 16.37 2.79545039138304
2006 2011 5 2.99 1.0952733874026
2007 2008 1 1.32 0.27763173659828
2007 2011 4 0.73 -0.3147107448397
2007 2009 2 8.1 2.09186406167839
2007 2007 0 0.15 -1.89711998488588
2007 2012 5 0.729 -0.316081546973479
2007 2010 3 2.07 0.727548607277278
2008 2012 4 2.251 0.811374561924595
2008 2010 2 3.37 1.21491274436427
2008 2009 1 3.25 1.17865499634165
2008 2013 5 2.502 0.917090412044719
2008 2008 0 0.53 -0.63487827243597
2008 2011 3 3.55 1.26694760348732
2009 2009 0 0.08 -2.52572864430826
2009 2011 2 3.1 1.1314021114911
2009 2012 3 2.95 1.08180517035173
2009 2010 1 4.52 1.50851199384414
2009 2013 4 2.253 0.812262661450107
2010 2015 5 0.295 -1.22077992264232
2010 2011 1 0.66 -0.415515443961666
2010 2010 0 0.29 -1.23787435600162
2010 2012 2 2.117 0.749999992152728
2010 2013 3 2.067 0.726098280699631
2011 2016 5 0.336 -1.09064411901893
2011 2015 4 0.721 -0.327116141697188
2011 2012 1 4.157 1.4247936602705
2011 2013 2 5.979 1.78825332989877
2011 2011 0 0.13 -2.04022082852655
2012 2012 0 0.641 -0.444725822061467
2012 2015 3 1.363 0.309688152714396
2012 2013 1 5.186 1.64596268711647
2012 2016 4 0.394 -0.931404369684203
2013 2013 0 0.156 -1.8578992717326
2013 2016 3 1.98 0.683096844706444
2013 2015 2 3.186 1.15876621148786
2014 2015 1 3.523 1.2593128993591
2014 2016 2 5.947 1.78288689072446
2015 2016 1 2.287 0.827240915040644
2015 2015 0 1.178 0.163818085229395
